Hidden Layer: 10, Learning Rate: 0.600000, Epochs: 200, Accuracy: 0.825397
Hidden Layer: 10, Learning Rate: 0.600000, Epochs: 300, Accuracy: 0.904762
Hidden Layer: 10, Learning Rate: 0.600000, Epochs: 400, Accuracy: 0.841270
Hidden Layer: 10, Learning Rate: 0.600000, Epochs: 500, Accuracy: 0.857143
Hidden Layer: 10, Learning Rate: 0.600000, Epochs: 600, Accuracy: 0.873016
Hidden Layer: 10, Learning Rate: 0.600000, Epochs: 700, Accuracy: 0.888889
Hidden Layer: 10, Learning Rate: 0.600000, Epochs: 800, Accuracy: 0.873016
Hidden Layer: 10, Learning Rate: 0.600000, Epochs: 900, Accuracy: 0.873016
Hidden Layer: 10, Learning Rate: 0.600000, Epochs: 1000, Accuracy: 0.904762
Hidden Layer: 10, Learning Rate: 0.700000, Epochs: 100, Accuracy: 0.793651
Hidden Layer: 10, Learning Rate: 0.700000, Epochs: 200, Accuracy: 0.841270
Hidden Layer: 10, Learning Rate: 0.700000, Epochs: 300, Accuracy: 0.825397
Hidden Layer: 10, Learning Rate: 0.700000, Epochs: 400, Accuracy: 0.873016
Hidden Layer: 10, Learning Rate: 0.700000, Epochs: 500, Accuracy: 0.888889
Hidden Layer: 10, Learning Rate: 0.700000, Epochs: 600, Accuracy: 0.857143
Hidden Layer: 10, Learning Rate: 0.700000, Epochs: 700, Accuracy: 0.857143
Hidden Layer: 10, Learning Rate: 0.700000, Epochs: 800, Accuracy: 0.888889
Hidden Layer: 10, Learning Rate: 0.700000, Epochs: 900, Accuracy: 0.841270
Hidden Layer: 10, Learning Rate: 0.700000, Epochs: 1000, Accuracy: 0.888889
Hidden Layer: 10, Learning Rate: 0.800000, Epochs: 100, Accuracy: 0.825397
Hidden Layer: 10, Learning Rate: 0.800000, Epochs: 200, Accuracy: 0.761905
Hidden Layer: 10, Learning Rate: 0.800000, Epochs: 300, Accuracy: 0.873016
Hidden Layer: 10, Learning Rate: 0.800000, Epochs: 400, Accuracy: 0.841270
Hidden Layer: 10, Learning Rate: 0.800000, Epochs: 500, Accuracy: 0.841270
Hidden Layer: 10, Learning Rate: 0.800000, Epochs: 600, Accuracy: 0.888889
Hidden Layer: 10, Learning Rate: 0.800000, Epochs: 700, Accuracy: 0.904762
Hidden Layer: 10, Learning Rate: 0.800000, Epochs: 800, Accuracy: 0.873016
Hidden Layer: 10, Learning Rate: 0.800000, Epochs: 900, Accuracy: 0.936508
Hidden Layer: 10, Learning Rate: 0.800000, Epochs: 1000, Accuracy: 0.888889
Hidden Layer: 10, Learning Rate: 0.900000, Epochs: 100, Accuracy: 0.809524
Hidden Layer: 10, Learning Rate: 0.900000, Epochs: 200, Accuracy: 0.857143
Hidden Layer: 10, Learning Rate: 0.900000, Epochs: 300, Accuracy: 0.825397
Hidden Layer: 10, Learning Rate: 0.900000, Epochs: 400, Accuracy: 0.857143
Hidden Layer: 10, Learning Rate: 0.900000, Epochs: 500, Accuracy: 0.888889
Hidden Layer: 10, Learning Rate: 0.900000, Epochs: 600, Accuracy: 0.857143
Hidden Layer: 10, Learning Rate: 0.900000, Epochs: 700, Accuracy: 0.888889
Hidden Layer: 10, Learning Rate: 0.900000, Epochs: 800, Accuracy: 0.888889
Hidden Layer: 10, Learning Rate: 0.900000, Epochs: 900, Accuracy: 0.857143
Hidden Layer: 10, Learning Rate: 0.900000, Epochs: 1000, Accuracy: 0.873016
Hidden Layer: 10, Learning Rate: 1.000000, Epochs: 100, Accuracy: 0.809524
Hidden Layer: 10, Learning Rate: 1.000000, Epochs: 200, Accuracy: 0.793651
Hidden Layer: 10, Learning Rate: 1.000000, Epochs: 300, Accuracy: 0.841270
Hidden Layer: 10, Learning Rate: 1.000000, Epochs: 400, Accuracy: 0.857143
Hidden Layer: 10, Learning Rate: 1.000000, Epochs: 500, Accuracy: 0.920635
Hidden Layer: 10, Learning Rate: 1.000000, Epochs: 600, Accuracy: 0.857143
Hidden Layer: 10, Learning Rate: 1.000000, Epochs: 700, Accuracy: 0.888889
Hidden Layer: 10, Learning Rate: 1.000000, Epochs: 800, Accuracy: 0.873016
Hidden Layer: 10, Learning Rate: 1.000000, Epochs: 900, Accuracy: 0.888889
Hidden Layer: 10, Learning Rate: 1.000000, Epochs: 1000, Accuracy: 0.888889
